Code.INSEE,Code.postal,Libellé.géographique,Dep,occurrence,total.Club.sportif,Population,TauxBac,Salaire,TauxChomage,TauxOuvrier,StatutCommune
11262,11100,Narbonne,11,1,134,2286,24.5294474803,14424,18.3333333333,27.5555555556,I
11295,11490,Portel-des-Corbières,11,1,5,1165,38.9013452915,15617,9.68309859155,21.3028169014,R
11415,11250,Villar-Saint-Anselme,11,1,NA,94,25.3333333333,16029,9.75609756098,0,R
11429,11620,Villemoustaussou,11,1,13,3247,42.1701112878,19980,10.1889338731,15.3171390013,C
12030,12300,Bouillac,12,1,3,433,32,16079,9.34065934066,19.7802197802,R
12202,12000,Rodez,12,2,111,1421,43.4857635893,18215,4.27215189873,24.5253164557,C
12299,12430,Villefranche-de-Panat,12,1,4,771,26.368159204,14767,6.10932475884,20.2572347267,R
12305,12110,Viviez,12,1,2,1385,25,15620,9.45709281961,43.0823117338,B
13001,13090,Aix-en-Provence,13,4,301,2952,62.9078694818,26792,8.65312264861,8.27689992476,B
13002,13190,Allauch,13,2,44,3538,55.1616673159,24915,7.20779220779,9.28571428571,B
13013,13720,Belcodène,13,1,5,1791,51.9678714859,25344,7.2202166065,16.0048134777,R
13028,13600,La Ciotat,13,2,103,1898,38.0112834979,16459,19.9296600234,18.9917936694,B
13029,13250,Cornillon-Confoux,13,1,5,1339,54.8289738431,22942,8.54961832061,11.7557251908,R
13032,13510,Éguilles,13,1,20,2198,56.4741641337,25825,8.67346938776,13.0612244898,B
13033,13820,Ensuès-la-Redonne,13,1,15,5197,51.6206163656,24115,10.125588697,12.5588697017,I
13037,13580,La Fare-les-Oliviers,13,1,21,2184,40.2271368799,21590,8.29268292683,24,I
13047,13800,Istres,13,1,118,2205,35.4430379747,15248,19.2585895118,24.773960217,B
13048,13490,Jouques,13,1,12,4127,48.7394957983,20892,9.98964803313,17.5465838509,B
13056,13500,Martigues,13,1,117,2847,39.6479463537,15258,15.7859078591,23.7127371274,B
13063,13140,Miramas,13,1,73,2790,23.2069970845,9158,24.298245614,48.5087719298,B
13086,13360,Roquevaire,13,1,20,2082,46.7648942985,21873,9.05391658189,13.3265513733,B
13087,13790,Rousset,13,1,15,4393,51.7196200459,21040,9.33869526363,16.6219839142,B
13090,13100,Saint-Antonin-sur-Bayon,13,1,1,142,75.652173913,29552,3.50877192982,21.0526315789,R
13091,13760,Saint-Cannat,13,1,20,5470,47.4004565052,22498,9.8997995992,15.0701402806,I
13108,13150,Tarascon,13,2,30,2033,35.3325415677,16210,10.8938547486,21.9273743017,B
13113,13770,Venelles,13,2,23,2542,67.5268817204,24987,7.24258289703,7.24258289703,B
13117,13127,Vitrolles,13,1,74,128,51.1904761905,17206,7.05882352941,20,B
13118,13111,Coudoux,13,1,9,3447,54.5609548167,24031,7.22154222766,11.3219094247,I
13119,13470,Carnoux-en-Provence,13,1,22,2613,58.3333333333,22658,8.5036794767,10.7931316435,I
13201,13001,Marseille 1er Arrondissement,13,4,301,2591,54.178842782000000,14749.0,26.728826728800000,14.8407148407,C
13202,13002,Marseille 2e Arrondissement,13,1,44,1711,12.2149837134,4743.0,54.132231405,45.7300275482,C
13203,13003,Marseille 3e Arrondissement,13,4,4,2847,26.280737704900000,8641.0,28.8848263254,28.7934186472,C
13204,13004,Marseille 4e Arrondissement,13,5,110,2441,35.4415274463,14562.0,15.6807511737,20.2816901408,C
13205,13005,Marseille 5e Arrondissement,13,3,114,3237,50.6199460916,18092.0,13.887086307600000,12.9136924075,C
13206,13006,Marseille 6e Arrondissement,13,3,6,3946,59.459459459500000,18835.0,15.3281096964,12.8305582762,C
13208,13008,Marseille 8e Arrondissement,13,6,NA,2207,55.8113419427,23136.0,10.2272727273,10.321969697,C
13209,13009,Marseille 9e Arrondissement,13,5,4,2968,56.8564920273,23302.0,6.66666666667,10.329670329700000,C
13210,13010,Marseille 10e Arrondissement,13,4,18,2008,23.2996632997,16352.0,23.4472049689,27.173913043500000,C
13212,13012,Marseille 12e Arrondissement,13,2,2,2636,47.3350923483,22397.0,9.71843778383,11.9891008174,C
13213,13013,Marseille 13e Arrondissement,13,4,5,2214,33.230958231,15696.0,18.9138576779,29.026217228500000,C
13216,13016,Marseille 16e Arrondissement,13,1,6,3275,28.577512776800000,12573.0,19.084561675700000,29.7129557797,C
14003,14400,Agy,14,1,NA,242,34.5744680851,20346,4.95867768595,16.5289256198,R
14066,14990,Bernières-sur-Mer,14,1,13,2351,39.8174557901,19166,9.55109837631,14.4221585482,B
14068,14112,Biéville-Beuville,14,1,10,2533,54.6623794212,26625,6.37707948244,6.28465804067,I
14118,14000,Caen,14,3,236,2389,65.0594451783,20738,14.9686520376,14.0282131661,C
14164,14320,NA,NA,1,3,NA,NA,NA,NA,NA,R
14181,14123,Cormelles-le-Royal,14,1,14,12,71.4285714286,19484,0,0,B
14327,14200,Hérouville-Saint-Clair,14,3,54,1411,20.2702702703,7523,34.3313373253,37.125748503,B
14437,14120,Mondeville,14,1,27,11,0,17453,33.3333333333,33.3333333333,B
14488,14150,Ouistreham,14,1,29,2418,42.2940879232,19519,12.9098360656,21.2090163934,I
14519,14210,Préaux-Bocage,14,1,1,119,50.6666666667,20832,6.06060606061,12.1212121212,R
14558,14970,Saint-Aubin-d'Arquenay,14,1,1,799,43.2971014493,22814,5.60975609756,15.6097560976,R
14689,14220,Le Hom,14,1,10,1968,27.3405698779,15862,14.9184149184,32.634032634,R
14755,14113,Villerville,14,1,4,772,39.6610169492,17866,13.9410187668,19.3029490617,B
15266,15130,Yolet,15,1,2,588,37.054631829,17034,4.57746478873,16.1971830986,R
16015,16000,Angoulême,16,4,135,2867,43.0513595166,14711,20.0551343901,18.6078566506,C
16026,16430,Balzac,16,1,5,1284,39.8803589232,21026,7.75444264943,17.7705977383,B
16411,16140,NA,NA,1,2,NA,NA,NA,NA,NA,R
17109,17220,Clavette,17,1,NA,1131,40.8588957055,20379,8.8850174216,21.0801393728,R
17200,17140,Lagord,17,2,14,3399,46.7865340474,22613,7.85928143713,10.254491018,B
17300,17000,La Rochelle,17,4,144,1805,27.2398843931,14116,19.422863485,32.4084350721,C
17333,17110,Saint-Georges-de-Didonne,17,1,11,2871,34.0668296659,19583,14.3964562569,18.0509413068,B
17360,17740,Sainte-Marie-de-Ré,17,1,11,3139,42.2222222222,21945,9.37972768533,16.9440242057,I
17409,17200,Saint-Sulpice-de-Royan,17,2,9,2746,30.9839167455,18774,8.85579937304,17.868338558,R
17483,17340,Yves,17,1,4,1425,36.5094339623,18191,9.66850828729,25.138121547,R
18011,18410,Argent-sur-Sauldre,18,1,8,2223,20.2341137124,17190,9.27291886196,41.5173867229,I
18033,18000,Bourges,18,3,193,850,15.629984051,11152,31.4487632509,44.1696113074,C
19005,19240,Allassac,19,1,17,3756,34.3739160597,17728,8.29383886256,30.0355450237,C
19031,19100,Brive-la-Gaillarde,19,1,154,2566,36.985645933,17026,10.797743755,25.1410153102,C
19043,19360,La Chapelle-aux-Brocs,19,2,3,394,40.7051282051,20120,10,21.8181818182,R
19102,19160,Lamazière-Basse,19,1,1,290,33.8842975207,13754,15.5963302752,34.8623853211,R
19223,19210,Saint-Martin-Sepert,19,1,2,258,19.4312796209,14903,6.55737704918,36.0655737705,R
19234,19270,Saint-Pardoux-l'Ortigier,19,1,1,472,28.3783783784,17639,3.79146919431,28.9099526066,R
19244,19250,Saint-Sulpice-les-Bois,19,1,4,71,49.1228070175,16554,10,0,R
21185,21200,Combertault,21,1,2,489,46.7532467532,21293,5.2,22.4,R
21231,21000,Dijon,21,10,312,2399,71.2418300654,24067,12.8922815946,14.673452078,C
21236,21190,Ébaty,21,1,NA,219,27.5641025641,17582,3.66972477064,32.1100917431,R
21521,21560,Remilly-sur-Tille,21,1,1,764,45.7943925234,22567,7.75,24.75,R
21605,21800,Sennecey-lès-Dijon,21,1,5,2219,37.7257525084,21006,6.61375661376,26.8077601411,B
21617,21240,Talant,21,1,20,2535,63.4249471459,29020,4.43864229765,5.22193211488,B
21621,21110,NA,NA,1,1,NA,NA,NA,NA,NA,B
21651,21121,Val-Suzon,21,1,NA,221,49.6932515337,21996,4.67289719626,3.73831775701,R
21661,21370,Velars-sur-Ouche,21,1,4,1719,48.4337349398,22980,5.70749108205,13.3174791914,R
22040,22970,Coadout,22,1,1,530,36.6754617414,17377,6.85483870968,32.2580645161,R
22082,22100,Le Hinglé,22,2,3,840,35.1648351648,19147,5.66037735849,29.3800539084,B
22166,22710,Penvénan,22,1,8,2636,33.4737827715,17866,8.56507230256,16.3515016685,B
22173,22400,NA,NA,2,7,NA,NA,NA,NA,NA,NA
22187,22190,Plérin,22,2,40,2425,49.0899635985,22173,8.51624231782,19.2273924495,B
22196,22740,Pleudaniel,22,1,NA,1005,31.2169312169,15212,7.82997762864,24.384787472,R
22213,22490,Plouër-sur-Rance,22,1,15,3344,48.3695652174,19247,8.608815427,18.8016528926,I
22226,22300,Ploumilliau,22,1,9,2583,33.148054573,17052,8.38041431262,21.4689265537,R
22229,22110,Plounévez-Quintin,22,1,2,1085,34.6698113208,16032,7.06106870229,39.6946564885,R
22232,22410,Plourhan,22,1,9,1950,43.7273386512,18456,8.69565217391,19.1075514874,B
22251,22590,Pordic,22,1,17,3823,51.0382513661,21072,5.61797752809,12.7143701952,I
22278,22000,Saint-Brieuc,22,4,133,1985,49.5956873315,21301,11.4955357143,20.5357142857,C
22282,22380,Saint-Cast-le-Guildo,22,1,14,3500,32.3701410389,19336,9.60884353742,25.1700680272,I
22284,22480,Saint-Connan,22,1,NA,311,31.1023622047,13857,12.7819548872,42.1052631579,R
22314,22600,Saint-Maudan,22,1,1,377,26.0563380282,17330,6.28019323671,42.5120772947,R
22318,22980,Saint-Michel-de-Plélan,22,1,1,304,25.3456221198,14626,3.87596899225,44.1860465116,R
22347,22220,Trédarzec,22,2,2,1117,35.7058125741,16114,7.09812108559,23.382045929,B
